qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
1,S01E01,813,1300,Why was Jerry running?,4,Jerry saw Tom trapped Cuckoo inside the pot.,Jerry saw a car throw a sack into the river.,Tom hit a ball which was going towards Jerry.,because jerry tricked tom,Jerry was trying to run away from Tom.
2,S01E01,813,1060,Why did Jerry have a shocked expression?,3,Jerry found that he had been caught by a rope.,Jerry saw Tuffy.,Jerry's hand was hurt by Tom with the knife.,Jerry saw Tom's mouth open in front of Jerry.,Jerry realised that Tom was holding on to Jerry's tribal skirt.
3,S01E01,1759,1960,Why did Tom dip his fingers in the ink?,1,Tom wanted Jerry to mistake Tom's finger for a sausage.,To draw a mouse hole on the wall.,Tom was preparing to eat.,Tom wanted to see if there was ink in the pen.,Tom's hand was in pain.
4,S01E01,1759,2174,Why was Jerry running into the wall?,4,Jerry wanted to see what Tom was doing,Jerry had finally escaped and was looking for Quacker.,Jerry wanted to avoid getting hurt,Jerry saw the crusher about to crush him,Jerry wanted to enter the mouse hole.
5,S01E01,1759,2400,Why was Jerry dizzy?,0,Jerry kept running into the wall head first.,To avoid being noticed by Tom,jerry did not want anyone to hear him,Jerry had water on his head,Jerry was telling the woodpecker that Jerry was not it's mother.
6,S01E01,2469,2836,Why did Tom splash water on Jerry?,4,Tom wanted to trap Jerry in several containers and throw Jerry down the well.,The robot mouse controlled Jerry to smack Tom.,Tom wanted to use Jerry as the tee.,jerry wanted to approach tom before jerry started barking,To try to wake Jerry up
7,S01E01,2500,2900,Why did Jerry sneak?,0,Jerry was afraid of being caught by Tom.," The pistol ball bounced on Jerrys head, pushing him into the ground.",Jerry saw Tom approaching.,Tom turned Jerry with one finger.,jerry wanted to approach tom before jerry started barking
8,S01E01,3200,3373,Why did Jerry poke Tom's eyes?,1,Jerry was teasing Tom.,So that Tom would be hurt,Jerry  did not believe his eyes.,the firecrackers were coming towards jerry,Jerry wanted to check if Tom was awake.
9,S01E01,3450,3823,Why was Tom crawling?,3,Tom thought that Tom was shot by the gun.,Tom's foot was in pain.,Tom's toes were swelling.,Tom was afraid of being punished by Mammy Two Shoes.,The cover fell on Tom's foot
10,S01E01,3780,3976,Why couldn't Tom escape?,1,Tom saw Jerry turn on a lawn mower.,Tom's tail was being held down by a broom,Tom saw Spike glaring at Tom.,The male duck was chasing Tom.,Tom wanted to avoid getting hurt
