qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
1,S01E01,813,1300,Why was Jerry running?,0,Jerry was running away as Jerry did not want to be eaten by Tom.,so that Tom cannot hurt jerry physically,jerry was afraid Tom would attack jerry for tricking Tom.,Jerry was shocked that Cuckoo was caught by Tom and Jerry wanted to save Cuckoo.,Jerry ran away from the ball as he did not want to get hit by the ball.
2,S01E01,813,1060,Why did Jerry have a shocked expression?,1,Jerry realised that his cover had been blown.,Jerry did not want to run into Tom's mouth and be eaten by Tom.,Jerry was pulled back by the rope around his neck and caught by Tom.,Jerry was shocked to see Tuffy enter the house without Jerry's knowledge and to see Tuffy near the mousetrap.,Jerry was shocked to see Tuffy near the mousetrap and afraid of Tuffy being trapped by the mousetrap.
3,S01E01,1759,1960,Why did Tom dip his fingers in the ink?,4,Tom's hand was in pain from hitting Jerry with the vase.,Tom was excited to eat Jerry who was on Tom's plate.,Tom thought there was no ink in the pen as the ink did not come out when Jerry pulled the pen.,Tom wanted to trick Jerry to mistake Tom's finger for a sausage so that Tom could catch Jerry when Jerry tried to steal Tom's finger.,Tom was trying to trick Jerry by drawing a fake mouse hole on the wall.
4,S01E01,1759,2174,Why was Jerry running into the wall?,4,Jerry wanted to see if Tom had really lost Jerry or not and if it was safe to come out,Jerry wanted Tom and Butch to run past so that Jerry could escape.,Jerry wanted to ensure that Quacker was safe from Tom.,Jerry did not want to be caught by Tom since Jerry hurt Tom.,Jerry thought that the mouse hole Tom drew was real that Jerry ran into the wall to enter the fake hole.
5,S01E01,1759,2400,Why was Jerry dizzy?,0,Jerry thought the mouse hole was real and kept running into the wall.,Jerry wanted to look at the book so Jerry tiptoed to the book to avoid catching Tom's attention to avoid being caught by Tom,Jerry wanted to look at the book so Jerry tiptoed to the book to avoid catching Tom's attention to avoid being eaten by Tom,jerry did not want to get caught by spike or Tom.,Jerry wanted the woodpecker to return to its own nest.
6,S01E01,2469,2836,Why did Tom splash water on Jerry?,3,Tom wanted to get Jerry to return Tom's nose.,Tom had caught Jerry and wanted to make Jerry work for Tom as revenge.,Tom wanted to get rid of Jerry so that Jerry would stop disrupting Tom's plans to cook and eat Quacker.,Tom was trying to get Jerry to stop being dizzy,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom 
7,S01E01,2500,2900,Why did Jerry sneak?,3,so that Tom cannot hurt jerry physically,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Jerry did not want to be seen and captured by Tom.,Jerry just woke up from being dizzy and did not notice Tom,Tom was annoyed by Jerry for waking Tom up and Tom wanted to take revenge on Jerry.
8,S01E01,3200,3373,Why did Jerry poke Tom's eyes?,1,Tom wanted to ask Jerry to dance with Tom.,Jerry wanted to hurt Tom to have time to run away,Jerry was ridiculing Tom who was stuck behind the train barricade.,Jerry saw through Tom's ploy and realised Tom was sleeping.,Jerry wanted to ask Tom to dance with Jerry.
9,S01E01,3450,3823,Why was Tom crawling?,0,Tom knocked over a flower pot and was going to get punished by Mammy Two Shoes ,"Tom tried to use a catapult, but the rock landed on his foot which caused him to jump up in pain.",Tom was holding his foot in pain after the heavy cover fell on Tom's foot ,Jerry dropped the bulb to make a big sound that heard like a gunshot so that Tom thought that Tom was shot.,Tom's foot was in pain as the iron dropped onto Tom's foot.
10,S01E01,3780,3976,Why couldn't Tom escape?,1,Tom wanted to run away to avoid being caught and hurt by the male duck.,Mammy Two Shoes was holding Tom's tail down with a broom to catch Tom,Tom was afraid of getting mowed by the moving lawn mower.,Butch was chasing Tom with a shotgun so Tom ran away to avoid getting hurt by Butch,Tom had accidentally whacked Spike and the dog house with the plank which annoyed Spike.
