QID,Filename,Start Frame,End Frame,Question,Answer,Explanation
1,S01E01,813,1300,Why was Jerry running?,Jerry was trying to run away from Tom.,Jerry was running away as Jerry did not want to be eaten by Tom.
2,S01E01,813,1060,Why did Jerry have a shocked expression?,Jerry saw Tom's mouth open in front of Jerry.,Jerry did not want to run into Tom's mouth and be eaten by Tom.
3,S01E01,1759,1960,Why did Tom dip his fingers in the ink?,To draw a mouse hole on the wall.,Tom was trying to trick Jerry by drawing a fake mouse hole on the wall.
4,S01E01,1759,2174,Why was Jerry running into the wall?,Jerry wanted to enter the mouse hole.,Jerry thought that the mouse hole Tom drew was real that Jerry ran into the wall to enter the fake hole.
5,S01E01,1759,2400,Why was Jerry dizzy?,Jerry kept running into the wall head first.,Jerry thought the mouse hole was real and kept running into the wall.
6,S01E01,2469,2836,Why did Tom splash water on Jerry?,To try to wake Jerry up,Tom was trying to get Jerry to stop being dizzy
7,S01E01,2500,2900,Why did Jerry sneak?,Jerry was afraid of being caught by Tom.,Jerry just woke up from being dizzy and did not notice Tom
8,S01E01,3200,3373,Why did Jerry poke Tom's eyes?,So that Tom would be hurt,Jerry wanted to hurt Tom to have time to run away
9,S01E01,3450,3823,Why was Tom crawling?,Tom was afraid of being punished by Mammy Two Shoes.,Tom knocked over a flower pot and was going to get punished by Mammy Two Shoes 
10,S01E01,3780,3976,Why couldn't Tom escape?,Tom's tail was being held down by a broom,Mammy Two Shoes was holding Tom's tail down with a broom to catch tom
11,S01E01,3900,4431,Why was Jerry laughing and nodding?,Jerry was happy,Jerry was happy to see Tom getting scolded by Mammy Two Shoes 
12,S01E01,3800,4169,Why was Tom trying to run?,Tom's tail was caught by a broom,To avoid being scolded and punished by Mammy Two Shoes
13,S01E01,3482,4658,Why did Mammy Two Shoes hit Tom with the broom?,Mammy Two Shoes was angry at Tom,Tom broke a flower pot in Mammy Two Shoes' house that annoyed Mammy Two Shoes
14,S01E01,4600,4821,Why did Tom catch the flower pot?,So that the flower pot would not break,Tom was preventing the flower pot from breaking so that Mammy Two Shoes won't scold and punish Tom again
15,S01E01,4663,4941,Why did Tom breathe a sigh of relief?,Tom managed to catch the flower pot,Tom caught the flower pot and it did not break so Mammy Two Shoes won't scold Tom again
16,S01E01,5015,5184,Why did Jerry look scared?,Tom was back to chasing Jerry,Jerry was afraid of being chased and caught by Tom.
17,S01E01,5015,5367,Why did Jerry slide down the lamp?,To run away from Tom,Tom started chasing Jerry again so Jerry had to run away
18,S01E01,5015,5583,Why was Jerry holding the glass over the table?,Jerry wanted to threaten to break the glass to stop Tom chasing Jerry,Jerry knew Tom would be punished by Mammy Two Shoes if something broke 
19,S01E01,5015,5583,Why did Tom stop chasing Jerry?,Jerry was threatening Tom,"If Tom continued chasing, Jerry would drop the glass and Tom would get scolded by Mammy Two Shoes again"
20,S01E01,5400,5767,Why did Tom gulp?,Tom was scared,Tom was afraid of getting scolded by Mammy Two shoes if Jerry drop the glass.
21,S01E01,5400,5885,Why was Tom walking away from Jerry?,Tom did not want Jerry to drop the glass,"If Tom walked away, Jerry would not drop the glass and Mammy Two Shoes wouldn't scold Tom again"
22,S01E01,5400,6114,Why was Jerry happy?,Jerry made Tom stop chasing Tom,Jerry was satisfied with himself as Jerry outsmarted Tom and made Tom back off
23,S01E01,5400,6190,Why did Tom start chasing Jerry again?,Jerry was no longer threatening Tom,Tom saw Jerry put the glass down instead of dropping the glass that Jerry could not threaten Tom with the glass again.
24,S01E01,5852,6299,Why was Jerry suddenly scared?,Tom was suddenly running towards Jerry,Jerry was afraid of being chased and caught by Tom.
25,S01E01,5852,6380,Why did Tom suddenly stop?,Jerry had a glass over the table,"If Jerry dropped the glass, Mammy Two Shoes would scold Tom so Tom stopped so Jerry didn't drop the glass"
26,S01E01,6669,7048,Why did Jerry wink?,Jerry was going to throw the glass off,Jerry was going to throw the glass off after Tom backed off 
27,S01E01,6800,7521,Why was Tom catching everything that Jerry threw?,Tom did not want Mammy Two Shoes to punish him again,"If something broke, Mammy Two Shoes would punish and scold Tom again and Tom did not want that"
28,S01E01,6556,7048,Why did Jerry whistle to Tom?,Jerry was trying to catch Tom's attention,Jerry wanted to show Tom that the glass was falling to the ground.
29,S01E01,6700,7603,Why was Jerry throwing things down?,Jerry was trying to mess with Tom,Jerry knew Tom would catch everything to not be in trouble so Jerry messed with Tom
30,S01E01,6700,7726,Why was Tom angry?,Jerry made trouble for Tom,Jerry kept throwing down things and Tom had to catch all of it giving Tom trouble
31,S01E01,8100,8500,Why was Jerry holding the glass over the table?,To threaten Tom,Jerry wanted to threaten Tom so Tom would not hurt Jerry
