qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
3565,S05E09,3322,3459,why did Tom open his mouth,3,Tom realised that Jerry was about to leave that scared Tom,Tom was imagining Jerry as different foods as Tom wanted to eat Jerry.,Tom wanted to find and catch Jerry.,Tom wanted to stop jerry and nibbles from stealing the key,Jerry wanted to save Quacker from being eaten by Tom.
1951,S03E08,660,935,Why was Tom panting?,3,Tom saw the real captain falling off the edge of the ship as Tom had pushed the boarding ramp away.,Tom knocked over a flower pot and was going to get punished by Mammy Two Shoes ,because Tom got scared when he heard a noise and wanted to run to hide.,Tom was stranded at sea.,Tom was in pain because Tom kick the robot cat.
4375,S06E14,5343,5943,Why did Tom jump up?,3,Spike bit Tom's leg thinking that it was a bone.,Tom was afraid of waking Spike up if Spike fell on the ground after being dragged by Tom.,Tom was in pain.,Tom was frightened when he saw the blade with blood as he thought that he had been hurt.,Tom was hurt as Tom put his own tail into the hot pot.
4544,S06E20,7050,7180,Why did Tom's eyes pop out?,2,Tom's finger was in pain from the mouse trap.,Tom was hungry and wanted to catch and eat Jerry.,Tom saw that he was falling fast and started to panic.,Tom was taken aback by the loud sound and his burnt hair.,Tom was shocked that the door closed as he would be stuck outside.
3020,S04E18,2200,2700,Why did Tom whistle?,2,Jerry wanted to put his plan into action of hitting Tom on the head.,Jerry wanted to signal Tom to get to the clock to help Tom to escape from Spike.,Tom wanted to ask Toots to come out of the house to meet Tom.,Tom woke up from a nightmare ,Tom wanted to distract Eagle by disguising himself as a female bird so that Tom could steal Jerry.
3418,S05E04,5930,6205,Why did Tom clap his hands?,1,Tom realised that Jerry was about to leave that scared Tom,Tom was satisfied that he had successfully caught and kicked Jerry out of the house.,Tom wanted to shake Jerry's hand to congratulate Jerry for the medal.,Tom wanted the firecrackers to go towards Jerry and explode to hurt Jerry.,Tom's hand was in pain from hitting Jerry with the vase.
2702,S04E07,7970,8360,Why did Jerry ask Tom to stop?,4,Tom wanted to get Jerry's forgiveness as Tom was afraid of the devil.,Tom was lazy and Tom did not want to catch Jerry.,Tom was sneaking up on Jerry to catch Jerry off guard and stab Jerry,Tom wanted to confront Jerry for pulling Tom's whiskers.,Jerry wanted Tom to see that Butch was stealing all the food.
595,S01E17,5272,5546,Why did Tom put a stethoscope to the wall?,0,Tom wanted to listen to the noises behind the wall to find out where Jerry was.,Jerry wanted to connect the stethoscope to the clock to trick Tom.,Tom wanted to figure out what was happening as Tom saw Jerry in different size ,Tom wanted to ask for forgiveness from Jerry.,Jerry screamed into Tom's stethoscope to hurt Tom's ears with a loud noise and escape Tom's grip.
3588,S05E10,1730,1862,Why did Jerry go into the stroller?,1,Jerry wanted the chicken to attack and scare Tom away again so that Jerry would be safe from Tom.,Tom was chasing Jerry so Jerry went into the baby stroller to hide from Tom and avoid being eaten,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.,Jerry wanted Tom to fall and crash into the basement so that Tom would be hurt.,Jerry wanted to fly off in a plane in order to get away from Tom.
1813,S03E03,5945,6134,Why did Tom put his hand inside the billiard table pocket?,4,Tom wanted to hit Jerry who was balancing on a string above Tom in order to catch Jerry.,Tom knew Jerry was inside the bowling ball and was trying to get Jerry by digging inside the bowling ball to eat Jerry,Tom wanted to shoot the cue ball that Jerry was on to tease Jerry.,Tom cheated by lifting the table to get the yellow ball into the pocket in order to score.,Tom saw Jerry jumping into the pocket and Tom wanted to catch Jerry by reaching into the billiard table pocket.
