qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
3565,S05E09,3322,3459,why did tom open his mouth,1,Tom was scared,tom wanted to bite the key,because tom wanted to check if jerry hid inside,Tom saw an edible Jerry.,Jerry wanted to pull Quacker out of Tom's mouth.
1951,S03E08,660,935,Why was Tom panting?,0,Tom was feeling hot.,Tom was shocked.,because tom heard something move,Tom was afraid of being punished by Mammy Two Shoes.,Tom's toes were swelling.
4375,S06E14,5343,5943,Why did Tom jump up?,4,Tom was in pain.,Tom blocked the airflow of the jetpack.,Tom saw Spike was dragged by Tom's fishing hook.,Tom saw the fire below catching up,Tom was scared.
4544,S06E20,7050,7180,Why did Tom's eyes pop out?,0,Tom was panicking.,Tom heard the door slam behind him.,Mammy Two Shoes hit Tom with a broomstick.,Tom saw Jerry through the window.,Tom's finger started swelling.
3020,S04E18,2200,2700,Why did tom whistle?,2,The water was salty.,Tom saw Spike.,Tom wanted to get Toots' attention,Tom was scared,tom felt pain
3418,S05E04,5930,6205,Why did Tom clap his hands?,3,tom was pointing the firecrackers to where Jerry was at.,Tom was gesturing for a handshake.,Tom was scared,Tom was triumphant and happy.,Tom's hand was in pain.
2702,S04E07,7970,8360,Why did Jerry ask Tom to stop?,1,Tom did not intend to catch Jerry as Tom was relaxing.,Jerry wanted Tom to stop chasing him.,Tom did not want Jerry to notice Tom,Tom wanted to confront Jerry.,Tom was begging Jerry to sign the forgive certification.
595,S01E17,5272,5546,Why did Tom put a stethoscope to the wall?,4,Jerry wanted Tom to hear Tom's heartbeat.,So that Tom would get hurt,Tom wanted to give Jerry a cake as gift.,tom was seeing a different version of jerry each time,Tom wanted to listen to the noises behind the wall.
3588,S05E10,1730,1862,Why did Jerry go into the stroller?,3,Jerry wanted Tom to fall into the basement.,Jerry was dizzy., Jerry heard Spikes scream.,Jerry wanted to hide from Tom,Jerry wanted to fly off with Quacker.
1813,S03E03,5945,6134,Why did Tom put his hand inside the billiard table pocket?,0,Tom wanted to catch Jerry in the pocket.,Tom was playing the billiards and Tom wanted to make the yellow ball roll into the pocket.,To try to dig for Jerry,Tom wanted to hit Jerry.,so that jerry will run on the same spot
3260,S04E26,6475,7060,Why did Tom buy a car?,4,to check why there was no explosion sound,because tom saw a dog model at the door of the shop,"Tom was roller skating and was unable to stop himself, crashing into the store.",Tom wanted Jerry and the pup to slip out of the door.,Tom wanted to drive to Toodles' house to pick Toodles up.
2811,S04E11,2575,3921,why did tom start to do housework,0,because tom wanted to appear useful and helpful to joan,Tom wanted to get home fast.,Tom wanted to catch Jerry.,because joan chased and beat tom with the broomstick.,Tom saw Jerry approaching.
3663,S05E12,6144,6450,Why was Tom shocked?,3,Tom felt a hand grab his neck.,Tom saw the pig falling from above.,The pole Tom was on suddenly fell,Tom realised that he hit his owner's foot,Jerry brought out a huge stone
4829,S06E31,3507,3742,Why was Tom happy?,1,Tom was proudly handing Jerry over to Mammy two shoes.,Tom was surfing, The starfish did not come off Toms head,Tom had thought of a plan to get Jerry from Eagle.,Tom saw Jerry's shadow.
629,S01E18,3500,4400,Why did Tom look angrily at Jerry?,0,Tom was angry that Jerry made tom bite tom's tail twice.,because tom wanted to catch jerry,Tom did not intend to catch Jerry as Tom was relaxing.,Jerry wanted to scare Tom,jerry wanted to approach tom before jerry started barking
554,S01E16,6400,6600,why did tom hug the yellow dog,0,because tom recognised the yellow dog's ears as the model dog head,because tom wanted to pretend to be a dog,Tom was falling and hugged the tree for support.,Tom thought that the hot dog was Jerry and wanted to catch Jerry.,The dog wanted to eat Tom.
1411,S02E16,4525,5260,Why did Jerry's eyes pop out?,3,Jerry saw Tom's claws come out.,Jerry saw the shark open its mouth,Jerry covered his eyes after peering into the room.,Jerry was shocked.,Jerry was scared.
3300,S05E01,635,1300,Why did Spike carry Tyke?,3,Tyke was scared and hid behind Spike.,Spike heard Tom scream.,because spike wanted tyke to stay quiet,Spike heard Tyke squealing.,Spike and Tyke were happy.
1652,S02E24,1698,1940,Why did Tom grab the lasso?,2,Tom wanted to use the book to hit Jerry.,Tom wanted to make sure that Jerry was not nearby ,Tom saw Jerry trying to run away,Jerry was caught by Tom's lasso,Tom wanted to push Jerry into the hole without being seen.
1626,S02E23,3138,3280,Why did Tom hit Topsy's head?,4,Tom wanted to punish Topsy for tripping Tom.,Tom wanted to inflict pain on Muscles.,because tom wanted to hit jerry that was on tom's head and tom hit himself by mistake,Tom's head was in pain.,Tom hit Topsy's head to help Topsy swallow the sandwiches.
755,S01E22,2400,2825,why did tom sigh?,1,because tom wanted to go to the back of jerry,because tom was relieved,Cuckoo pointed Tom with the gun and moved forward.,Tom found that he went back to his body.,Jerry used the ink bottle to threaten Tom to walk away.
4335,S06E13,2060,2365,Why was Jerry running?,1,Jerry saw a car throw a sack into the river.,Jerry was running away from the 8-ball.,because tom was chasing jerry and Quacker,Jerry wanted to run away from the express train.,Tom saw Jerry shaking and opening the soda bottle.
2326,S03E20,7125,7462,why did tom release jerry?,3,Tom threw Jerry back into the mousehole.,Tom did not want Jerry as a distraction.,Tom wanted to confront Jerry.,tom was going to catch jerry with a lasso,Tom wanted to inflict pain on Jerry.
836,S01E24,6334,6915,why did jerry smear himself with polish,0,because jerry wanted to disguise himself,"A bottle of white shoe polish poured over Jerry, turning Jerry white.",Jerry wanted to distract Tom.,Jerry looked around and did not see Tom.,Jerry did not see Tom and thought that Tom had left.
4662,S06E25,5775,6197,Why did the Dupli-cat hold Jerry out?,1,To avoid falling down,The Dupli-cat wanted to appear to be giving Jerry to Tom.,The Dupli-cat wanted to avoid Jerry running away.,Jerry saw Tom approaching,Jerry wanted to trap Tom and the Dupli-cat by tying the whiskers together.
2306,S03E20,920,1058,why did tom looked scared?,1,Tom saw the kitchen in a mess.,the captain was scolding tom,The pole Tom was on suddenly fell,Tom saw Spike approaching.,Tom broke his teeth from biting into the seashell.
1422,S02E16,7395,7510,Why did the woodpecker and Jerry jump up?,3,Jerry was shocked to see Tom coming towards him.,A cat ambushed Jerry from behind,Jerry saw Tom.,The woodpecker and Jerry were shocked.,The woodpecker saw Jerry and thought that Jerry was his mother.
2239,S03E17,6674,6876,why did the seal break the wire,1,because seal wanted to make a gap that is big enough for the seal to jump out,because the seal wanted to swing with the wire off the roof,The seal wanted to talk to Jerry.,because the seal wanted to explain what the circus make the seal to do in the performance,because tom was caught by the circus
